No.;Fix/Dev;Ext/Int;Short description;Goal;"Created at 
(via Makro)";Folder;Object Type;Priority;Working Prio;Status;Comments / Next steps;Reporter;Responsible;Solution approach / Comment;Transport;Detailed description
1064;Fix;Int;Addresses are not being found in SPRO on Receiver;2601;;Link;Company Code;High;912;Closed;;Maxi;Maxi;"21.10.25 ME: Wird in Issue 1058 weitergeführt > Ticket closed 
30.09.25 Mx: SMT Mapping Company Code Adress Daten kommen nicht im Ziel an.";;
760;Fix;Int;Controlling Area Missing Checkbox Values in Receiver Data;2602;;Link;Controlling Area;High;910;New;;Maxi;;;;
991;Fix;Int;Display of hierarchy processing locks hierarchy assignment;2507;;Link;Product Hierarchy;High;910;Confirmed;;Sabine;Mike;08.07. MX Entwicklung und Test haben sich gegenseitig im gleichen System blockiert.;;
999;Fix;Int;Level 5 and 6 not replicated;2507;;Link;Product Hierarchy;High;910;Confirmed;;Ulla;Mike;"30.07. Mx Ulla testet nach.
24.07. MX Replication funktioniert. 08.07. Mx Mike checkt, ob Fehler noch besteht.";ID1K905368/ID1K905312;
1023;Fix;Int;Upload data for product hierarchy enable duplicate assignments ;2507;;Link;Product Hierarchy;Very High;910;Confirmed;;Niklas;Mike;"31.07. Mx Niklas hat positiv getestet.
30.07. Mx Niklas testet nach.
25.07. Transport an Dieter und Günter weitergeleitet für IH1/2
24.07. Mx Nacherfassung Defect. Kein Topic Detail Dokument erstellt worden.";ID1K905418       KOLOSEIKEM   R2507-D896: ProdH Hierarchy Validation 1023;
1029;Fix;Int;Report PRODH_EXPORT with a bug in Level 6;2507;;Link;Product Hierarchy;Very High;910;Confirmed;;Gerd;Niklas/ Mike;"31.07. Mx Bei Niklas sind die Ergebnisse korrekt. Gerd bitte Niklas dies noch einmal zu prüfen, das IH1_400 eventuell nicht den gleichen Lieferstand hat.
 30.07. Gerd baut den Fehlerfall auf und Niklas prüft technisch im IH1_400/100";;
1030;Fix;Int;Validation upload file for the External Number Suffix field;2507;;Link;Product Hierarchy;Very High;910;Confirmed;;Gerd;Mike;"30.07. Mx Gerd testet nach.
30.07. ReTest erfolgreich";ID1K905405       KOLOSEIKEM   R2507-D896: ProdH Val. Changes F1025, F1028, F1030;
1034;Fix;Int;Validation at level with reference Length External number;2507;;Link;Product Hierarchy;Very High;910;Confirmed;;Gerd;Mike;"04.08. Mx Auf Status Solved gesetzt.
01.08. Assignment Validation for new created nodes adjusted
01.08. Mx Defect reported.";ID1K905446;
1059;Fix;Int;Material Type Quantity value not replicated;2602;;Link;Material Type;High;910;In Process;;Ulla;Maxi;"Testcase 16.1 u. 16.2
15.10. ME: Retested by me > Original Issue Resolved > New Issue (see Updated Doc) > Me as Responsible now 
04.09. MB: mit Frank getestet / AMENGU wird nicht geschrieben
03.09. Mx Replication isseu assigend to Frank
29.08. MB: Excel-Entry created";;
1061;Fix ;Int;Street Address not replicated;2511;;Link;Sales Office;High;910;Confirmed;;Ulla;Frank;"06.11.25 MX Defect geschlossen.
08.09.25 Mx Mail von Ulla, Defect tritt nicht mehr auf.
04.09.25: MB Problem konnte nicht reproduziert werden. Bitte wieder testen.
03.09. Mx Replication Issue assigned to Frank.
01.09. Mx Defect open.";;
1080;Fix;Int;The database column MSEHI is unknown;2511;;Link;Unit Of Measure;High;910;Solved;;Niklas;Niklas;"07.10.25 sollte behoben sein, Thomas fragt Niklas nochmal nach dem ""letzten Test""
30.09.25 Mx Info von Mike, dass der Topic im Zuge einer BC-Set Anpassung korrigiert wurde. Niklas gebeten kurz im IH1 zu testen.
12.09.25 MB: Dump = sehr wichtig … müssen wir dann wohl in 2507 noch fixen …";;
1134;Fix;Int;Company - File Upload Variant not in IH1;2511;05.11.2025 10:38:49;Link;Company;High;910;Confirmed;;Michael;Sara;"05.11.25 MSK: Wird via BC-Set transportiert; gemeldet an Günter zur Anpassung des BC-Sets und weitertransport
5.11.25 MB: Die Variante ist in ID1 aber nicht im IH1; Transportfehler wohl";;
1135;Fix;Int;No File Upload Variant exists for Shipping Point;2511;05.11.2025 11:15:02;Link;Shipping Point;Medium;910;Confirmed;;Michael;Sara;"13.11.25 MB: Günter hat transportiert. Michael kann retesten.
12.11.25 Sara: Variants changed from default sorting order to UI fields order
10.11.25 MB: Variants exists; but sequence of columns is bad, reduced priority
05.11.25 MSK: Wird via BC-Set transportiert; gemeldet an Günter zur Anpassung des BC-Sets und weitertransport
05.11.25 Sara: Variants created
5.11.25 MB: no variant has been created";;
1185;Fix;Int;"Change ""Create"" and ""Delete"" into ""Edit"", no EDIT avaialable";2603;17.12.2025 13:39:54;Link;Payment Term v2;Very High;910;Confirmed;;Sabine;Sara;"13.01.2026 Sabine: retest in ID1 ok
02.01.2026 Sara: Issue fixed in ID1
17.12. no 'Edit' of payment terms possible
";;
1056;Fix;Int;MRP Area Subcontract - Data was not saved;2602;;Link;MRP Area;High;907;New;;Niklas;;Testcase 42.3;;
803;Fix;Int;MRP Profile - Minimum Safety Stock can be > Safety Stock;2602;;Link;MRP Profile;High;905;New;;Maxi;Dieter;;;
838;Fix;Int;Company Code – mandatory field country not taken over into address screen – results in replication inconsistency;2602;;Link;Company Code;High;905;Confirmed;;Sabine;Sara;"10.12.25 Sabine: behaviour of field 'country' accepted, follow up issue 1182 for issue with cities.
23.11.25 Sabine: updated issue with solution proposal
18.11.25 Sara: Tested in standard, have shared a query/update mail 
20.10.25 The issue that the two fields for country can have different values is part of this topic";;
1066;Fix;Int;Assignment of characteristic to class does not work;2602;;Link;Class;High;905;New;;Sabine;;Testcase 39.1 u. 39.2;;
1139;Fix;Int;Incomplete Data Transfer Configuration;2511;05.11.2025 16:17:45;Link;Company, Posting Period Variant, Shipping Point;High;905;Confirmed;;Michael;Mike;"10.11.25 MB one is still missing

5.11.25 MB Archiving Directories not defined for Company and PPV, Object Type missing for Shipping Point";;
1072;Fix;Int;XML transformation Error;2602;;Link;Sales Office;High;902;New;;Niklas;Niklas;;;
544;Fix;Int;Material Status - Cross-plant settings aren't saved;2602;;Link;Material Status;High;901;New;;Maxi;;;;
867;Fix;Int;IH1400 (other systems to be tested) - MRP Profile -Direct Table - Not replicated Fields;2602;;Link;MRP Profile;High;901;New;;Maxi;Frank;24.03.25: Retested by Maxi, issue persists      11.03. Prepare for retest.;;
1052;Fix;Int;MRP Controller - Upload invalid profit center is possible ;2602;;Link;MRP Controller;High;901;New;;Niklas;Mike;Testcase 47.3;;
1053;Fix;Int;Cust.Acc.Group not found in Search;2602;;Link;Customer Account Group;High;901;New;;Sabine;;Testcase 09.1 u. 09.2;;
1111;Fix;Ext;Validation fails for Country from MDG Staging;2511;16.10.2025 10:01:27;Link;Company Code;High;920;Automatically Confirmed;;Shell;Michael;"23.10.25 MB: done (aus meiner Inbox da es einer Diskussion außerhalb des Transports mit Anshul entstammt). Danke an Frank und Dieter :-)
23.10.25 Mx Michael sendet Note an Shell- Shell hat heute noch geantwortet und testet und gibt Rückmeldung.
16.10.2025 MB: Frank hat das Problem wohl gefunden. Retested un Dieter gebeten den Transport in das S-System zu bringen.
16.10.2025 MB Mike sagt ggf Problem mit ""Existence Check der Relationship"" … Frage an Frank weitergegeben, wenn Frank das bejaht kann Mike ggf. morgen weitermachen
16.10.2025 MB: zusammen mit Maren auf dem ID1 nachvollzogen und an Mike übergeben";;
1015;Fix;Int;Subnodes should be optional;2509;;Link;Product Hierarchy;Very High;900;Confirmed;;Michael;Mike;"30.07. Mx Subnote funktioniert nur wenn letztes  Level nicht nicht verwendet wird. Wird verschoben auf Release 2508.
29.07. Defect bitte von Gerd testen, Gerd ansprechen.
17.07. MB: mit Mike diskutiert - wie mit Deloitte / Intel diskutiert";;
1204;Fix;Ext;Language creation not possible;2603;;;Language;High;920;obsolete;;Intel;Mike;"27.01.2026 MB: ist jetzt die Nummer 1209
22.01.2026 MSK: Missing Conversion Exit ZISOL.";;
1103;Fix;Int;MDF Validation null reference error;2602;;Link;Company Code;High;900;In Testing;;Ulla;Frank;19.01.26 Mx Frank hat Lösung erstellt.;;
1128;Fix;Int;Deletion of language dependent text not replicated;2511;03.11.2025 11:28:33;Link;Posting Period Variant;High;900;confirmed;;Sabine;Sara;"10.11 Sabine: retest IH1 ok
06.11. Mx Status Solution Proposal gesetzt.
Testcase 50.1
06.11. Mike noch einmal informiert. Da im Excel 2512 stand.";;
1145;Fix;Int;LSA functionalities missing;2601;10.11.2025 10:45:44;Link;Shipping Point;High;900;Confirmed;;Michael;Frank;10.11.25 MB: angelegt ;;
1209;Fix;Ext;Bug in Language Data Creation in R2407 vs R2511;2511;26.01.2026 09:36:22;Link;Language;High;910;Solution Proposal;;Intel;Frank (Dieter);"27.01.2026 Dieter hat eine Lösung geliefert
26.01.2026 Ticket erfasst und Nummer an Kunden geschickt.
26.02.2026 Habe Frank per Mail informiert, ID1 okay, IH1 Fehler, IH2 Dump, Frank hat korrigiert, Dieter hat im IH1 nachgetestet
26.02.2026 Fix zum Kunden geschickt";;
976;Fix;Ext;Itego UI: Search Selection via description does not work for Object Class;2507;;Link;Class;Very high;900;Closed;;Exxon;Dieter;13.06. 15:30 fix zum Kunden;;
995;Fix;Int;Prevent replication of hierarchy in status Approve;2507;;Link;Product Hierarchy;High;895;Confirmed;;Gerd;Mike;"08.07. MX Fehlerfall ""leere Produkthierarchie"" abfangen. ReTest OK.";;
1045;Dev;Int;ForeignKey Consistency check is executed incorrectly;2602;;Link;Product Hierarchy;Very High;895;In Process;;Gerd;Frank;"29.08. MB: Termin aufgesetzt mit Gerd und Thomas für Montag
28.08. Zwei mögliche Optionen, Entscheidung fehlt noch von Michael.
22.08.25: Frank hat etwas gemacht, gibt aber noch weiteren Bedarf
20.08.25: Created";;
988;Dev;Int;Adjust SMT Mappings to avoid additional effort for customers;2510;;Link;11 object types;High;890;Solved;;Michael;Maxi;"04.09.25 Wir brauchen ein Programm (was wir erstellen müssen), das der Kunde nach dem Einspielen ausführen muss. Frank schickt Maxi die Informationen dazu. 
28.8. Mx Maxi pflegt die SMT Mappings. 
Fix all SMT Mappings for object types which had an object type specific IDoc before (already done for Company Code T005) - See MATKL T023 example in issue 966 from ArcelorMittal";;
996;Fix;Int;Description of notes/subnodes cannot be changed;2507;;Link;Product Hierarchy;High;890;Confirmed;;Gerd;Mike;08.07. Mx Validierungsproblem;;
997;Fix;Int;2step creation and editing not possible;2507;;Link;Product Hierarchy;Very High;890;Confirmed;;Ulla;Mike;08.07. Mx Validierungsproblem;;
1011;Fix;Int;No replication only for open hierarchy CRs;2507;;Link;Product Hierarchy;High;890;Confirmed;;Gerd;Mike;"30.07. Mx Es werden nur noch aktive Daten versendet. (Mike)
18.07. Mx Mike hat aktuelle Logik erläutert. Bleibt bestehen. Gerd macht nachtest.";;
1081;Fix;Int;Plant Address: Country needs to be mandatory;2602;11.09.2025 09:39:20;Link;Plants/Branches;Medium;890;New;;Gerd;Frank/Mike;"Testcase 12.1 u. 12.2
29.09.25: MB: können wir nicht einfach hinzufügen, da Validierung auch greifen würde für Werke die keine Adresse haben. Siehe auch 1051. ";;
1107;Fix;Int;RDH Online Selection Texttables not working;;13.10.2025 13:25:50;Link;RDH;High;890;Solved;;Ulla;Frank;14.10.2025 Mx Selektionsproblem Lösungsvorschlag von Frank. Keine Programmanpassung erforderlich.;;
822;Fix;Int;MRP Profile - Select at leaset one checkbox for MRP Profile creation;2602;;Link;MRP Profile;Medium;889;New;;Niklas;Dieter;"Testcase 41.3 
 09.09.25 Mx Lt Niklas Fehler noch aktuell.
08.09.25 MB: Niklas schaut ob noch existent und gibt Mike Bescheid
27.08. Duplikat zu 1046. Dieser hier soll weitergeführt werden.
24.03.2025: Dieter knows
";;
1033;Fix ;Ext;Laufzeitfehler im RDH Rel. 2407;2507;;Link;RDH;High;900;Confirmed;;Bechtle;Frank, Dieter;"07.08. Dieter hat Fix zu Bechtle geschickt. Frank hat weitere Verbesserungen, Nachtest.
31.07. Frank hat Lösung erstellt.
31.07. Support Inbox - new ticket";(ID1K905438), ID1K905494, ID1K905526, ID1K905531;
620;Fix;Int;MRP Profile Check Box import is not working correct;2602;;Link;MRP Profile;Medium;887;New;;Niklas;Dieter;;;
739;Fix;Int;RDM Object Valuation MRP Controller  PF4 Revise picklist Business Area;2602;;Link;MRP Controller;Medium;886;New;;Gerd;Frank;;;
802;Fix;Int;"MRP Profile - ""Reorder level requires MRP type"" but it is not Maintainable in Data Screen 1 / 2";2602;;Link;MRP Profile;Medium;885;New;;Maxi;Mike;;;
619;Fix;Int;Missing and wrong mapping for some fields;2602;;Link;Controlling Area;High;880;In Testing;;Mike;Ulla;02.10.25 Mx Maxi hat Problem gelöst. Kann nachgetestet werden. Ulla gebeten Restest kommende Woche vorzunehmen.;;
843;Fix;Int;DE FR ES Translation -MRP Profile - Missing or Faulty Translations;2602;;Link;MRP Profile;Medium;880;New;;Maxi;;;;
1189;Fix;Ext;Not able to search multiple classes using search filters;2311-01;01.01.2026 13:14:44;Link;Class;Medium;900;Solution Proposal;;Exxonmobil;Mike;"21.01.2026 MSK: Fix delivered
20.01.26 Mx Wiedereröffnung für Merkmale, da analoger Fehler für dieses Objekt. Mike behebt bereits. Mike hat an Kunde geliefert, Info per Support Mail.
09.01.2026 MSK: Transport und Note ausgeliefert
08.01.2026 Mx Info an Trejo keine Eskalation da im Testing und Lieferung morgen ansteht. 
08.01.2026 MSK: Weitergeleitet an Günter und Dieter zur Transport-Erstellung für die Note
07.01.2026 MSK: Transport erstellt und durch Maxi getestet; Delivery sollte am 08.01.2026 erfolgen
05.01.2025 ME: Als responsible gesetzt";"ID1K906512 - Class
ID1K906548 - Char";
1004;Fix;Int;The levels above already require validations;2507;;Link;Product Hierarchy;High;875;Confirmed;;Gerd;Mike;"14.07. MX Bereits von Gerd nachgetestet.
08.07. Mx Ähnliches Problem,  wie in Defect 1003 beschrieben.";ID1K905312;
1178;Dev;Int;Product Hierarchy Export: Limit Number of Files ;2601;09.12.2025 11:10:54;Link;Product Hierarchy;High;875;New;;Michael;Niklas;;;
1055;Fix;Int;MRP Area Supplier with 1-4-digits blocks creation process;2602;;Link;MRP Area;Medium;870;New;;Niklas;;Testcase 42.3;;
1179;Dev;Int;Product Hierarchy Export: Add option for Subnode Export ;2601;09.12.2025 11:12:26;Link;Product Hierarchy;High;870;New;;Michael;Niklas;;;
1068;Fix;Int;Value help for change number missing;2602;;Link;Characteristic;Medium;860;New;;Sabine;;Testcase 38.1 u. 38.2 u. 38.3;;
1069;Fix;Int;Value for class deleted after “enter”;2602;;Link;Class;Medium;860;New;;Sabine;;Testcase 39.1;;
1162;Dev;Int;Optimization of T179 report /ITR/MDG_PRODH_EXPORT  extraction ;2602;19.11.2025 17:31:20;Link;Product Hierarchy;Medium;855;New;;Gerd;Niklas;;;
1206;Fix;Ext;address data replication from Itego to standard tables;2603;23.01.2026 14:25;Link;RDM Address Distribution;High;900;Customer Action;;Intel;Frank;"26.01.2026 Mx Rückfrage an Kunden (Customer Action) bezüglich näheren Details.
23.01.26 Mx Defekt eröffnet. Plant u.a. Objekte zu denen Adressen verteilt werden sollen.";;
731;Fix;Int;RDM Object Characteristics PF4 Revise picklists ;2602;;Link;Characteristic;Medium;850;In Process;;Gerd;Frank;"Retest 29.825 (Sabine): issue immer noch da
ReTest 06.02.2025 Switch for currency and 2 language fields are missing";;
807;Fix;Int;Classes - wrong CR status after withdrawal;2512;;Link;all;High;850;In Process;;Sabine;Dieter;"3.12.25 Jungheinrich hat das Problem auch - Dieter kümmert sich
04.04. Mx Dieter kann erst am 29.8.25 issue immer noch da, auch für andere Entitätstypen11.04. Defect bearbeiten. Problem erst nach 4 Jahren entdeckt. Bisher kein Kunde dieses Problem.
31.03. Mx Mail an Dieter mit der Bitte  zu prüfen.
27.03.25 Mx  Retest not succesfull.
14.03. this issue is not related to not existing decision tables. Currently we have a general problem with withdrawel. Staus remains to 54 and is not changed to 06, as we have also with other objects. I set prio to medium. Same issue in ticket 832                                13.03.:: WF Status";;
1028;Fix;Int;Wrong level upload possible;2507;;Link;Product Hierarchy;High;850;Confirmed;;Ulla;Mike;30.07. Mx Ulla hat getestet.;ID1K905405       KOLOSEIKEM   R2507-D896: ProdH Val. Changes F1025, F1028, F1030;
1031;Fix;Int;Error msg multiple assignment when creating node;2507;;Link;Product Hierarchy;High;850;Confirmed;;Ulla;Mike;31.07. Mx Mike hat dopp. Assignment gelöscht. Fehler tritt nicht mehr auf.;;
1038;Fix;Int;Upload validation on external suffix;2507;;Link;Product Hierarchy;High;850;Confirmed;;Gerd;Mike;"08.08. Mx Gerd ist bereits am Testen. 
07.08. Mx Defect bereits gelöst.
07.08. ReTest nicht erfolgreich
08.08. ReTest nach Korrektur ID1K905529. ReTest OK.
";ID1K905529       KOLOSEIKEM   R2507-D896: Product Hierarchy Redesign 1038;
1108;Dev;Int;Enhancement of list display in prg /ITR/SHOW_STAGING;;13.10.2025 14:35:16;Link;LSA;Medium;850;New;;Gerd;Frank;;;
1163;Dev;Ext;Missing Search Term and address related  Attributes;2603;20.11.2025 15:24:29;Link;Sales Organization;Medium;905;New;;Intel;Sara;"27.01.2026 MB Sara sollte in der Lage sein ab 29.01. damit anzufangen. Siehe auch 1152 
20.11.25 Mx Basierend auf Defect 1152, für Release 2603, ";;
1001;Fix ;Ext;ProdH  - Hry node cannot be inserted;2507;;Link;Product Hierarchy;High;880;Confirmed;;Sabine;Mike;"11.07. retest ok (Sabine)
08.07. Validierungsproblem";;
1198;Fix;Int;Adjust Search Screen: criteria and columns;2603;13.01.2026 14:01:23;Link;Code Value List;Medium;850;New;;Sabine;Farida;;;
1201;Fix;Int;Order of posted generic IDOC tables;2603;16.01.2026 16:25:19;Link;Payment Term v2;Medium;850;New;;Gerd;Sara;Check the order of the processed IDOC tables;;
574;Dev;Ext;Factory Calendar Fields - User, Changed at, Created at details are not showing ;2511;;Link;Factory Calendar;High;850;Confirmed;;Shell;Frank;28.10.2024 Boettcher Solved for Shell but IH1 Test Fails … see 574 IH1 Test;;
1007;Fix;Int;Description of node/subnote’ field is not mandatory;2507;;Link;Product Hierarchy;High;840;Obsolete;;Gerd;Mike;14.07. MX Realisierung entspricht SAP Standard. Keine Anpassung.;;
1062;Fix;Int;MRP-Type Description XML Transformation Error;2511;;Link;MRP Type;Medium;840;Solved;;Niklas;Niklas;"
25.11 Im IH1-400 sind zu lange String enthalten - Data Model ggf. anpassen";;
1074;Fix;Int;special rules outside validation period;2602;;Link;Factory Calendar;Medium;830;New;;Niklas;;;;
1039;Dev;Int;Deletion of Node (s) during creation process ;2602;;Link;Product Hierarchy;High;825;New;;Gerd;Mike;08.08. Mx Neu, Gerd beschreibt Lösung für Löschung Node im Erstellungsprozess. Sieht es aus Business Gründen als erforderlich.;;
1078;Fix;Int;no replication to IH1/400;2602;;Link;G/L Account Group;High;821;New;no staging entries created in IH1/400, same issue for customer account group;Sabine;Maxi;"05.01.2025 ME: Bearbeitung erfolgt in dieser Woche
30.09.2025 Maxi hat das Thema auch wegen dem SMT Mapping.
Testcase 07.1 und 07.2";;
1016;Fix;Int;Deactivate or Change Internal Numbering;2507;;Link;Product Hierarchy;High;820;Confirmed;;Michael;Mike;"30.07. Mx Auf Solved gesetzt.
17.07. MB: mit Mike diskutiert";;
1079;Fix;Int;no entry check for reference sales organ. and movement type;2602;;Link;Sales Organization;High;820;New;;Sabine;Mike;30.09.2025 Defect assigned to Mike.;;
1174;Fix;Int;Differences between ERP and S/4 lead to problems F4 Selection;2601;04.12.2025 14:17:58;Link;all;High;820;New;;Michael;Frank;04.12. MB im DevelopmentMeeting angelegt;;
809;Fix;Int;Characteristics – characteristics name of copy overwrites existing characteristic while changing any characteristic;2602;;Link;Characteristic;High;805;In Process;;Sabine;Mike;"related to 898. issue does not occur ID1 any longer!
20.08. wieso ""liefern wir das aus""? ist das fertig. Ggf. für Exxon wichtig
11.07.25 MB: wohin liefern wir das aus?
26.06.25: issue exists still in IH1, retest in ID1 w
as ok (Sabine)
12.05. issue exists in IH1 (Sabine)
14.03.25: Retest was succesfull (Thomas)


14.03.25: Transport in IH1 for Retest
13.03: fixed and Dev tested
";;
898;Fix;Int;Itego RDM - Itego - IH1100 - Characterstics - Request is not initialized;2602;;Link;Characteristic;High;805;New;;Gerd;Mike;related to 809. issue does not occur ID1 any longer!;;
921;Fix;Int;Itego RDM - Itego - IH200 - Classes – value help for Organizational area field;2602;;Link;Class;Medium;800;In Process;;Gerd;Mike;29.8.25 retest (Sabine) issue still exists;;
940;Fix;Int; Itego RDM - Itego - IH100 - Classes - wrong title on search screen;2602;;Link;Class;Medium;800;New;;Sabine;Ulla;"29.08.25: retest (Sabine), issue exists
exchange title - easy fix";;
1006;Fix;Int;Limitation of field length Current Level ;2602;;Link;Product Hierarchy;High;800;New;;Gerd;Mike;14.07. Mx Bearbeitung erfolgt nach Bayer Präsentation.;;
1122;Fix;Ext;Release Delivery CBS;2507;23.10.2025 15:28:55;Link;Release;High;850;Automatically Confirmed;;CBS;Thomas;23.10.25 MX Issue created. Softwarestand vom Kunden abgefragt. Kunde ist erst am 27.10. zurück.;;
1101;Fix;Int;Multiple Obj CR - MRP Area not editable;2603;08.10.2025 11:57:51;Link;Plant;High;800;New;;Ulla;Dieter;"27.01.26: Dieter schaut nochmal
29.10.25 Mx Problem an Dieter geroutet.
Testcase 103.1 u. 103.2";;
1180;Fix;Int;Wrong Language FR in EN UI;2512;09.12.2025 16:53:22;Link;Class;Medium;800;Solved;;Mike;Ulla;"17.12.2025 Rückmeldung Ulla gelöst.
11.12.2025 Kommunikation zwischen Herve und Michael B. 
09.12.2025 Mx Defect create.";;
1183;Fix;Int;UI - improve handling of account type;2603;10.12.2025 11:58:15;Link;Payment Term v2;Medium;800;Confirmed;;Sabine;Sara;"13.01.2026 Sabine: retest in ID1 ok
05.01.2025 Sara: Issue fixed in ID1";;
1186;Fix;Int;UI Improvements;2603;17.12.2025 13:40:47;Link;Payment Term v2;Medium;800;Confirmed;;Sabine;Sara;"13.01.2026 Sabine: retest in ID1 ok
06.01.2026 Sara: Issues fixed in ID1";;
1187;Fix;Int;Adjust Search Screen: criteria and columns;2603;17.12.2025 15:07:44;Link;Payment Term v2;Medium;800;New;;Sabine;Sara;;;
1195;Fix;Int;"mandatory field ""description"" not checked";2603;13.01.2026 11:24:23;Link;Code Value List;Medium;800;New;;Sabine;Farida;;;
1037;Fix;Int;zeros missing to reupload exported nodes;2602;;Link;Product Hierarchy;High;795;New;;Niklas;Niklas;07.08. Mx Lösung für 2508 geplant. Beim Download gehen Werte verloren.;;
1018;Fix;Int;Manual selection of Parent Node in Hierarchy Assignment via External Number;2602;;Link;Product Hierarchy;Medium;790;New;;Michael;Mike;17.07. MB: mit Mike diskutiert - Bayer Requirement oder besser: Wunsch;;
1197;Fix;Int;download code type: selection criteria not considered correctly for language dependent texts;2603;13.01.2026 13:29:11;Link;Code Value List;Medium;790;New;;Sabine;Farida;Note: issue exists for other entity types as well (I tested it with document type);;
1019;Fix;Int;More convenient File Upload;2602;;Link;Product Hierarchy;Medium;780;New;;Michael;Mike;17.07. MB: mit Mike diskutiert - Bayer Requirement  oder besser: Wunsch;;
1165;Fix;Int;Fields on search screen missing;2602;24.11.2025 13:42:51;Link;Shipping Point;Medium;780;New;;Sabine;Mike/Sara;;;
1169;Fix;Ext;No CR created during DTIMPORT;2512;27.11.2025 19:11:07;Link;Country;High;850;On hold;;Jungheinrich;Mike;27.01.2026 Konnten wir im PoC nicht lösen. Jungheinrich implementiert aber zunächst einmal nur die Produkthierarchie. Insofern nicht mehr ganz so wichtig.;;
993;Fix;Int;Hierarchy Tree View in Search not possible;2602;;Link;Product Hierarchy;Medium;750;New;;Michael;Mike;08.07. Mx Bearbeitung folgt nach dem Level High.;;
1003;Fix;Int;ProdH  - wrong error message;2602;;Link;Product Hierarchy;High;750;New;;Sabine;Mike;08.07. Mx Standardfehlermeldung in SAP passt nicht zum Prozess. Siehe auch Defect 1004, ähnliches Problem beschrieben.;;
1026;Fix ;Int;ProdH Upload UI missing;2507;;Link;Product Hierarchy;Medium;750;Confirmed;;Niklas;;node übersicht wird wieder angezeigt;;
1057;Fix;Int;MRP Area- Plant F4 help ;2602;;Link;MRP Area;Medium;750;New;;Niklas;Frank;28.08. Mx Defect opened.;;
1102;Fix;Int;Description Texts (Own Explenation) are not recieved when replicating via. Direct Table;;08.10.2025 13:23:48;Link;Payment Terms Details;Medium;750;In Process;;Maxi;Maxi;14.10.25 MX SMT Verteilung, Maxi bearbeitet.;;
1104;Fix;Int;Description not being replicated via. Direct Table;2602;08.10.2025 15:15:53;Link;Sales Organization;Medium;750;In Process;;Maxi;Maxi;"Testcase 15.1 u. 15.2
 14.10.25 MX SMT Verteilung, Maxi bearbeitet.";;
1203;Fix;Ext;File upload just one Characteristic loaded in System M4Y.;2603;20.01.2026 09:35:29;Link;Characteristic;High;850;Solution Proposal;;Exxonmobil;Mike;"21.01.2026 MSK: Defect sollte sich automatisch mit 1189 auflösen. Es wurde hier seitens Exxon in einem System vergessen alle Fixes einzuspielen die in der Vergangenheit bereitgestellt wurden
20.01.2026 Mx Defekt eröffnet da neuer Fehler in M4Y System von Exxon gemeldet. Alter Fehler unter 1190 wurde bereits gefixed. Infomail an Exxonmobil über neue Defekt Nummer.
Mike hat Lösungsbeschreibung an Kunden geliefert. Fix 1189 stellt auch die Lösung für Problem in System M4Y.";;
1027;Fix;Int;Searching in Hierarchy – no jump to record;2602;;Link;Product Hierarchy;Medium;740;New;;Ulla;Mike;28.07. Mx Defect von Ulla eröffnet. Wird auf 2508 verschoben.;;
1168;Fix;Int;No description in other languages if only EN maintained;2603;26.11.2025 13:35:50;Link;Language;Medium;740;In Process;;Ulla;Dieter;27.11. Mx Dieter untersucht das Thema.;;
1036;Fix;Int;Dump when uploading without file selection;2602;;Link;Product Hierarchy;Medium;730;New;;Gerd;Mike;"08.08. Mx Wird auf 2508 verschoben.
07.08. Mx Mike baut noch Fehlermeldung für 2507. Generelles Problem bei Upload.";;
971;Fix;Int;Itego RDM - Itego - ID1100 - WBS - checks for organizational units are missing;;;Link;Work Breakdown Structure;Very High;710;Confirmed;;Sabine;Farida/Mike;"11.7. retest Sabine: OK
7.7. Farida will focus on this
25.6. still a lot of effort - Farida still working on it";;
942;Fix;Int;WBS Element Hierachie download - Edge from level 1 element to Project Def lvl 0 will not be output;2509;;Link;Work Breakdown Structure;Very High;700;Confirmed;;Niklas;Farida;"12.08. Mx SAP OSS Meldung nicht mehr erforderlich. Niklas testet aktuelle Lösung.
30.7 SAP blocker / (Upload/ download function needs variants)
11.7. MB: das ist der Export, ohne den können wir die WBS nicht ausliefern
7.7. Sara working on it ";;
1071;Dev;Int;Data Export and File Upload to be implemented;2603;;Link;Work Breakdown Structure;High;700;Development;;Michael;Farida;"2.12.25 MB: WBS ""parked in 2602""";;
951;Fix;Int;Itego RDM - Itego - ID1100 - WBS – element can be assigned to different project;;;Link;Work Breakdown Structure;Very High;690;Confirmed;;Sabine;Farida/Mike;"11.7.  retest ok with reservation (User does not get an information…)
26.6. Michael will discuss with Sabine, probably just an UI issue
25.6. probably not an error - Farida will ask Sabine";;
975;Fix;Int;Itego RDM - Itego - ID1100 - Distribution WBS-Hierarchy to Backend;2603;;Link;Work Breakdown Structure;Very high;690;Solution Proposal;;Sabine;Farida;"2.12.25 MB: WBS ""parked in 2602""
27.10. Mx Sabine testet. 
30.07 Issue solved can be tested ( Upload /download function needs variants) same as 942
24.07 As per discussion the copy functionality is removed ( Same Internal number is copied over to new Proj definition which leads issue during DRF)
15.07  Issue is the with the Copy button, need discussion
25.6. Farida needs to check";;
1166;Fix;Int;Add audit fields to search screen;2603;24.11.2025 13:49:09;Link;Posting Period Variant;Low;690;New;;Sabine;Mike/Sara;;;
